date,time_slot,depot_name,total_trains_available,trains_in_service,trains_under_maintenance,ready_for_induction,average_turnaround_time_min,energy_consumption_kwh,fault_probability
2025-10-17,13:15:00,Aluva Depot,10,4,3,3,16,368,0.0166
2025-10-17,13:15:00,Muttom Yard,25,10,1,14,18,377,0.047
2025-10-17,13:30:00,Aluva Depot,10,4,2,4,15,484,0.0407
2025-10-17,13:30:00,Muttom Yard,25,10,2,13,16,217,0.0194
2025-10-17,13:45:00,Aluva Depot,10,4,3,3,24,393,0.0166
2025-10-17,13:45:00,Muttom Yard,25,10,3,12,22,303,0.0261
2025-10-17,14:00:00,Aluva Depot,10,4,3,3,16,338,0.0345
2025-10-17,14:00:00,Muttom Yard,25,10,1,14,19,300,0.0263
2025-10-17,14:15:00,Aluva Depot,10,4,1,5,23,464,0.0182
2025-10-17,14:15:00,Muttom Yard,25,10,1,14,21,260,0.0111
2025-10-17,14:30:00,Aluva Depot,10,4,2,4,17,382,0.0436
2025-10-17,14:30:00,Muttom Yard,25,10,1,14,20,400,0.0224
2025-10-17,14:45:00,Aluva Depot,10,4,3,3,23,332,0.0394
2025-10-17,14:45:00,Muttom Yard,25,10,2,13,23,211,0.0299
2025-10-17,15:00:00,Aluva Depot,10,4,1,5,21,315,0.0483
2025-10-17,15:00:00,Muttom Yard,25,10,3,12,17,244,0.0227
2025-10-17,15:15:00,Aluva Depot,10,4,3,3,16,474,0.019
2025-10-17,15:15:00,Muttom Yard,25,10,1,14,21,212,0.0214
2025-10-17,15:30:00,Aluva Depot,10,4,2,4,23,321,0.0354
2025-10-17,15:30:00,Muttom Yard,25,10,3,12,22,283,0.0478
2025-10-17,15:45:00,Aluva Depot,10,4,3,3,17,249,0.021
2025-10-17,15:45:00,Muttom Yard,25,10,2,13,17,312,0.0188
2025-10-17,16:00:00,Aluva Depot,10,4,2,4,19,287,0.0445
2025-10-17,16:00:00,Muttom Yard,25,10,2,13,24,269,0.0242
2025-10-17,16:15:00,Aluva Depot,10,4,3,3,21,281,0.0361
2025-10-17,16:15:00,Muttom Yard,25,10,1,14,16,214,0.0228
2025-10-17,16:30:00,Aluva Depot,10,4,2,4,22,466,0.0394
2025-10-17,16:30:00,Muttom Yard,25,10,2,13,21,246,0.0296
2025-10-17,16:45:00,Aluva Depot,10,4,3,3,20,391,0.023
2025-10-17,16:45:00,Muttom Yard,25,10,3,12,23,251,0.0225
2025-10-17,17:00:00,Aluva Depot,10,8,3,0,19,367,0.0402
2025-10-17,17:00:00,Muttom Yard,25,20,1,4,21,340,0.0131
2025-10-17,17:15:00,Aluva Depot,10,8,1,1,23,337,0.0163
2025-10-17,17:15:00,Muttom Yard,25,20,1,4,22,436,0.0109
2025-10-17,17:30:00,Aluva Depot,10,8,3,0,15,457,0.0312
2025-10-17,17:30:00,Muttom Yard,25,20,2,3,16,433,0.0443
2025-10-17,17:45:00,Aluva Depot,10,8,1,1,15,265,0.0423
2025-10-17,17:45:00,Muttom Yard,25,20,3,2,24,447,0.0473
2025-10-17,18:00:00,Aluva Depot,10,8,1,1,22,357,0.017
2025-10-17,18:00:00,Muttom Yard,25,20,2,3,22,296,0.0477
2025-10-17,18:15:00,Aluva Depot,10,8,1,1,20,455,0.019
2025-10-17,18:15:00,Muttom Yard,25,20,3,2,16,468,0.0391
2025-10-17,18:30:00,Aluva Depot,10,8,2,0,19,344,0.029
2025-10-17,18:30:00,Muttom Yard,25,20,1,4,21,246,0.0222
2025-10-17,18:45:00,Aluva Depot,10,8,3,0,18,223,0.0217
2025-10-17,18:45:00,Muttom Yard,25,20,3,2,20,426,0.0139
2025-10-17,19:00:00,Aluva Depot,10,8,3,0,15,445,0.04
2025-10-17,19:00:00,Muttom Yard,25,20,1,4,22,424,0.0269
2025-10-17,19:15:00,Aluva Depot,10,8,1,1,18,283,0.0142
2025-10-17,19:15:00,Muttom Yard,25,20,3,2,21,218,0.0329
2025-10-17,19:30:00,Aluva Depot,10,8,3,0,22,300,0.0475
2025-10-17,19:30:00,Muttom Yard,25,20,1,4,16,250,0.0188
2025-10-17,19:45:00,Aluva Depot,10,8,2,0,15,440,0.0226
2025-10-17,19:45:00,Muttom Yard,25,20,3,2,15,213,0.0201
2025-10-17,20:00:00,Aluva Depot,10,8,3,0,22,417,0.0203
2025-10-17,20:00:00,Muttom Yard,25,20,1,4,15,205,0.0165
2025-10-17,20:15:00,Aluva Depot,10,8,1,1,21,216,0.0318
2025-10-17,20:15:00,Muttom Yard,25,20,3,2,17,249,0.0441
2025-10-17,20:30:00,Aluva Depot,10,8,1,1,23,454,0.0276
2025-10-17,20:30:00,Muttom Yard,25,20,2,3,15,482,0.0239
2025-10-17,20:45:00,Aluva Depot,10,8,1,1,19,449,0.0466
2025-10-17,20:45:00,Muttom Yard,25,20,3,2,21,254,0.0297
2025-10-17,21:00:00,Aluva Depot,10,4,2,4,15,454,0.0391
2025-10-17,21:00:00,Muttom Yard,25,10,3,12,18,256,0.0293
2025-10-17,21:15:00,Aluva Depot,10,4,1,5,18,235,0.0264
2025-10-17,21:15:00,Muttom Yard,25,10,1,14,15,238,0.016
2025-10-17,21:30:00,Aluva Depot,10,4,1,5,24,336,0.0254
2025-10-17,21:30:00,Muttom Yard,25,10,3,12,19,224,0.0206
2025-10-17,21:45:00,Aluva Depot,10,4,3,3,17,319,0.0468
2025-10-17,21:45:00,Muttom Yard,25,10,3,12,16,347,0.0495
2025-10-17,22:00:00,Aluva Depot,10,4,3,3,16,214,0.0364
2025-10-17,22:00:00,Muttom Yard,25,10,2,13,16,415,0.0218
2025-10-17,22:15:00,Aluva Depot,10,4,2,4,16,330,0.0451
2025-10-17,22:15:00,Muttom Yard,25,10,3,12,20,350,0.0267
2025-10-17,22:30:00,Aluva Depot,10,4,1,5,21,347,0.0319
2025-10-17,22:30:00,Muttom Yard,25,10,2,13,21,495,0.0291
2025-10-17,22:45:00,Aluva Depot,10,4,3,3,22,490,0.0363
2025-10-17,22:45:00,Muttom Yard,25,10,3,12,24,422,0.0457
2025-10-17,23:00:00,Aluva Depot,10,4,2,4,20,219,0.0485
2025-10-17,23:00:00,Muttom Yard,25,10,1,14,19,236,0.0104
2025-10-18,05:30:00,Aluva Depot,10,4,3,3,20,238,0.0468
2025-10-18,05:30:00,Muttom Yard,25,10,1,14,24,463,0.0224
2025-10-18,05:45:00,Aluva Depot,10,4,2,4,24,360,0.0223
2025-10-18,05:45:00,Muttom Yard,25,10,2,13,18,255,0.0169
2025-10-18,06:00:00,Aluva Depot,10,4,2,4,19,381,0.0201
2025-10-18,06:00:00,Muttom Yard,25,10,2,13,24,404,0.0204
2025-10-18,06:15:00,Aluva Depot,10,4,1,5,19,478,0.0156
2025-10-18,06:15:00,Muttom Yard,25,10,3,12,21,250,0.0359
2025-10-18,06:30:00,Aluva Depot,10,4,1,5,21,270,0.0371
2025-10-18,06:30:00,Muttom Yard,25,10,2,13,17,316,0.0118
2025-10-18,06:45:00,Aluva Depot,10,4,1,5,23,415,0.0105
2025-10-18,06:45:00,Muttom Yard,25,10,2,13,16,312,0.0375
2025-10-18,07:00:00,Aluva Depot,10,4,2,4,23,331,0.0133
2025-10-18,07:00:00,Muttom Yard,25,10,3,12,24,325,0.0407
2025-10-18,07:15:00,Aluva Depot,10,4,3,3,20,270,0.0437
2025-10-18,07:15:00,Muttom Yard,25,10,2,13,19,257,0.0207
2025-10-18,07:30:00,Aluva Depot,10,4,2,4,17,334,0.0466
2025-10-18,07:30:00,Muttom Yard,25,10,3,12,16,279,0.0339
2025-10-18,07:45:00,Aluva Depot,10,4,2,4,20,329,0.029
2025-10-18,07:45:00,Muttom Yard,25,10,2,13,16,323,0.0144
2025-10-18,08:00:00,Aluva Depot,10,8,3,0,15,492,0.0171
2025-10-18,08:00:00,Muttom Yard,25,20,3,2,21,326,0.0266
2025-10-18,08:15:00,Aluva Depot,10,8,1,1,19,452,0.0273
2025-10-18,08:15:00,Muttom Yard,25,20,2,3,20,363,0.033
2025-10-18,08:30:00,Aluva Depot,10,8,3,0,21,346,0.017
2025-10-18,08:30:00,Muttom Yard,25,20,1,4,15,413,0.0222
2025-10-18,08:45:00,Aluva Depot,10,8,1,1,16,306,0.0229
2025-10-18,08:45:00,Muttom Yard,25,20,2,3,19,281,0.0273
2025-10-18,09:00:00,Aluva Depot,10,8,1,1,23,359,0.0493
2025-10-18,09:00:00,Muttom Yard,25,20,1,4,19,447,0.0183
2025-10-18,09:15:00,Aluva Depot,10,8,3,0,24,430,0.0128
2025-10-18,09:15:00,Muttom Yard,25,20,2,3,16,244,0.0467
2025-10-18,09:30:00,Aluva Depot,10,8,2,0,19,367,0.0346
2025-10-18,09:30:00,Muttom Yard,25,20,1,4,23,234,0.0211
2025-10-18,09:45:00,Aluva Depot,10,8,1,1,19,323,0.0441
2025-10-18,09:45:00,Muttom Yard,25,20,1,4,24,321,0.0464
2025-10-18,10:00:00,Aluva Depot,10,8,3,0,21,401,0.0403
2025-10-18,10:00:00,Muttom Yard,25,20,2,3,19,287,0.0447
2025-10-18,10:15:00,Aluva Depot,10,8,1,1,24,411,0.0383
2025-10-18,10:15:00,Muttom Yard,25,20,1,4,22,492,0.0185
2025-10-18,10:30:00,Aluva Depot,10,8,1,1,21,309,0.0296
2025-10-18,10:30:00,Muttom Yard,25,20,2,3,21,488,0.0129
2025-10-18,10:45:00,Aluva Depot,10,8,3,0,21,265,0.0195
2025-10-18,10:45:00,Muttom Yard,25,20,3,2,22,386,0.0163
2025-10-18,11:00:00,Aluva Depot,10,8,2,0,15,474,0.0421
2025-10-18,11:00:00,Muttom Yard,25,20,3,2,21,457,0.0123
2025-10-18,11:15:00,Aluva Depot,10,8,1,1,17,308,0.037
2025-10-18,11:15:00,Muttom Yard,25,20,3,2,16,345,0.0209
2025-10-18,11:30:00,Aluva Depot,10,8,2,0,19,206,0.0122
2025-10-18,11:30:00,Muttom Yard,25,20,1,4,21,351,0.0342
2025-10-18,11:45:00,Aluva Depot,10,8,2,0,22,393,0.0305
2025-10-18,11:45:00,Muttom Yard,25,20,1,4,24,223,0.0246
2025-10-18,12:00:00,Aluva Depot,10,4,3,3,17,332,0.0144
2025-10-18,12:00:00,Muttom Yard,25,10,3,12,16,307,0.0336
2025-10-18,12:15:00,Aluva Depot,10,4,2,4,23,383,0.0114
2025-10-18,12:15:00,Muttom Yard,25,10,2,13,22,455,0.0104
2025-10-18,12:30:00,Aluva Depot,10,4,3,3,19,423,0.0164
2025-10-18,12:30:00,Muttom Yard,25,10,1,14,19,305,0.0128
2025-10-18,12:45:00,Aluva Depot,10,4,1,5,18,447,0.0496
2025-10-18,12:45:00,Muttom Yard,25,10,2,13,19,233,0.0495
2025-10-18,13:00:00,Aluva Depot,10,4,3,3,17,278,0.0114
2025-10-18,13:00:00,Muttom Yard,25,10,2,13,24,319,0.0236
2025-10-18,13:15:00,Aluva Depot,10,4,2,4,24,460,0.0477
2025-10-18,13:15:00,Muttom Yard,25,10,2,13,17,258,0.0361
2025-10-18,13:30:00,Aluva Depot,10,4,1,5,16,324,0.0171
2025-10-18,13:30:00,Muttom Yard,25,10,1,14,22,496,0.0231
2025-10-18,13:45:00,Aluva Depot,10,4,2,4,22,451,0.0105
2025-10-18,13:45:00,Muttom Yard,25,10,2,13,20,273,0.0237
2025-10-18,14:00:00,Aluva Depot,10,4,3,3,16,431,0.0232
2025-10-18,14:00:00,Muttom Yard,25,10,2,13,17,251,0.0226
2025-10-18,14:15:00,Aluva Depot,10,4,1,5,17,325,0.0387
2025-10-18,14:15:00,Muttom Yard,25,10,2,13,21,342,0.029
2025-10-18,14:30:00,Aluva Depot,10,4,2,4,23,352,0.0118
2025-10-18,14:30:00,Muttom Yard,25,10,1,14,20,404,0.0379
2025-10-18,14:45:00,Aluva Depot,10,4,2,4,20,246,0.022
2025-10-18,14:45:00,Muttom Yard,25,10,1,14,20,227,0.0371
2025-10-18,15:00:00,Aluva Depot,10,4,3,3,17,257,0.025
2025-10-18,15:00:00,Muttom Yard,25,10,1,14,20,379,0.0229
2025-10-18,15:15:00,Aluva Depot,10,4,1,5,16,421,0.0223
2025-10-18,15:15:00,Muttom Yard,25,10,3,12,18,264,0.0352
2025-10-18,15:30:00,Aluva Depot,10,4,3,3,18,307,0.023
2025-10-18,15:30:00,Muttom Yard,25,10,3,12,15,470,0.0488
2025-10-18,15:45:00,Aluva Depot,10,4,2,4,16,236,0.0427
2025-10-18,15:45:00,Muttom Yard,25,10,2,13,22,457,0.0279
2025-10-18,16:00:00,Aluva Depot,10,4,2,4,17,387,0.0141
2025-10-18,16:00:00,Muttom Yard,25,10,3,12,21,335,0.0349
2025-10-18,16:15:00,Aluva Depot,10,4,1,5,16,284,0.0315
2025-10-18,16:15:00,Muttom Yard,25,10,2,13,18,399,0.0379
2025-10-18,16:30:00,Aluva Depot,10,4,3,3,22,419,0.0285
2025-10-18,16:30:00,Muttom Yard,25,10,3,12,17,429,0.0261
2025-10-18,16:45:00,Aluva Depot,10,4,3,3,15,283,0.0283
2025-10-18,16:45:00,Muttom Yard,25,10,3,12,15,466,0.0485
2025-10-18,17:00:00,Aluva Depot,10,8,2,0,17,366,0.0184
2025-10-18,17:00:00,Muttom Yard,25,20,3,2,22,340,0.0474
2025-10-18,17:15:00,Aluva Depot,10,8,1,1,19,394,0.0275
2025-10-18,17:15:00,Muttom Yard,25,20,2,3,20,207,0.05
2025-10-18,17:30:00,Aluva Depot,10,8,3,0,20,206,0.0279
2025-10-18,17:30:00,Muttom Yard,25,20,3,2,17,435,0.0113
2025-10-18,17:45:00,Aluva Depot,10,8,3,0,19,286,0.0448
2025-10-18,17:45:00,Muttom Yard,25,20,3,2,16,275,0.0315
2025-10-18,18:00:00,Aluva Depot,10,8,1,1,17,460,0.013
2025-10-18,18:00:00,Muttom Yard,25,20,3,2,19,218,0.0414
2025-10-18,18:15:00,Aluva Depot,10,8,3,0,18,455,0.0238
2025-10-18,18:15:00,Muttom Yard,25,20,1,4,23,274,0.0185
2025-10-18,18:30:00,Aluva Depot,10,8,2,0,16,441,0.0167
2025-10-18,18:30:00,Muttom Yard,25,20,2,3,20,354,0.0384
2025-10-18,18:45:00,Aluva Depot,10,8,2,0,15,324,0.0115
2025-10-18,18:45:00,Muttom Yard,25,20,1,4,21,285,0.0488
2025-10-18,19:00:00,Aluva Depot,10,8,2,0,18,308,0.0154
2025-10-18,19:00:00,Muttom Yard,25,20,1,4,17,305,0.0403
2025-10-18,19:15:00,Aluva Depot,10,8,2,0,23,439,0.0286
2025-10-18,19:15:00,Muttom Yard,25,20,1,4,21,353,0.013
2025-10-18,19:30:00,Aluva Depot,10,8,1,1,18,233,0.0173
2025-10-18,19:30:00,Muttom Yard,25,20,2,3,17,297,0.0418
2025-10-18,19:45:00,Aluva Depot,10,8,2,0,17,476,0.0265
2025-10-18,19:45:00,Muttom Yard,25,20,1,4,22,240,0.0385
2025-10-18,20:00:00,Aluva Depot,10,8,2,0,24,358,0.0154
2025-10-18,20:00:00,Muttom Yard,25,20,2,3,23,257,0.0414
2025-10-18,20:15:00,Aluva Depot,10,8,3,0,24,248,0.0269
2025-10-18,20:15:00,Muttom Yard,25,20,1,4,22,298,0.0356
2025-10-18,20:30:00,Aluva Depot,10,8,3,0,17,473,0.0434
2025-10-18,20:30:00,Muttom Yard,25,20,2,3,15,248,0.027
2025-10-18,20:45:00,Aluva Depot,10,8,1,1,16,437,0.0244
2025-10-18,20:45:00,Muttom Yard,25,20,2,3,23,439,0.0183
2025-10-18,21:00:00,Aluva Depot,10,4,1,5,16,238,0.0397
2025-10-18,21:00:00,Muttom Yard,25,10,2,13,24,432,0.0422
2025-10-18,21:15:00,Aluva Depot,10,4,2,4,23,426,0.0182
2025-10-18,21:15:00,Muttom Yard,25,10,2,13,16,215,0.0241
2025-10-18,21:30:00,Aluva Depot,10,4,1,5,16,427,0.0329
2025-10-18,21:30:00,Muttom Yard,25,10,1,14,18,486,0.0136
2025-10-18,21:45:00,Aluva Depot,10,4,2,4,20,413,0.0142
2025-10-18,21:45:00,Muttom Yard,25,10,3,12,15,348,0.0332
2025-10-18,22:00:00,Aluva Depot,10,4,2,4,17,371,0.0225
2025-10-18,22:00:00,Muttom Yard,25,10,2,13,18,286,0.0451
2025-10-18,22:15:00,Aluva Depot,10,4,3,3,19,235,0.0172
2025-10-18,22:15:00,Muttom Yard,25,10,3,12,20,331,0.0197
2025-10-18,22:30:00,Aluva Depot,10,4,3,3,20,409,0.0322
2025-10-18,22:30:00,Muttom Yard,25,10,3,12,23,303,0.0239
2025-10-18,22:45:00,Aluva Depot,10,4,3,3,15,253,0.0411
2025-10-18,22:45:00,Muttom Yard,25,10,2,13,21,335,0.0213
2025-10-18,23:00:00,Aluva Depot,10,4,2,4,20,352,0.0206
2025-10-18,23:00:00,Muttom Yard,25,10,1,14,19,462,0.0346
2025-10-19,05:30:00,Aluva Depot,10,4,2,4,21,420,0.0228
2025-10-19,05:30:00,Muttom Yard,25,10,2,13,24,425,0.0304
2025-10-19,05:45:00,Aluva Depot,10,4,2,4,18,344,0.0218
2025-10-19,05:45:00,Muttom Yard,25,10,1,14,22,314,0.0198
2025-10-19,06:00:00,Aluva Depot,10,4,3,3,21,267,0.0288
2025-10-19,06:00:00,Muttom Yard,25,10,3,12,19,355,0.0389
2025-10-19,06:15:00,Aluva Depot,10,4,1,5,24,275,0.047
2025-10-19,06:15:00,Muttom Yard,25,10,3,12,22,415,0.0196
2025-10-19,06:30:00,Aluva Depot,10,4,3,3,19,485,0.0247
2025-10-19,06:30:00,Muttom Yard,25,10,3,12,19,489,0.0151
2025-10-19,06:45:00,Aluva Depot,10,4,3,3,20,426,0.0303
2025-10-19,06:45:00,Muttom Yard,25,10,2,13,21,262,0.0332
2025-10-19,07:00:00,Aluva Depot,10,4,3,3,15,390,0.0266
2025-10-19,07:00:00,Muttom Yard,25,10,1,14,21,326,0.0205
2025-10-19,07:15:00,Aluva Depot,10,4,2,4,19,223,0.0305
2025-10-19,07:15:00,Muttom Yard,25,10,2,13,15,455,0.0187
2025-10-19,07:30:00,Aluva Depot,10,4,1,5,20,369,0.0463
2025-10-19,07:30:00,Muttom Yard,25,10,3,12,16,410,0.017
2025-10-19,07:45:00,Aluva Depot,10,4,3,3,23,219,0.0318
2025-10-19,07:45:00,Muttom Yard,25,10,2,13,16,325,0.0223
2025-10-19,08:00:00,Aluva Depot,10,8,1,1,20,419,0.0125
2025-10-19,08:00:00,Muttom Yard,25,20,3,2,17,209,0.0422
2025-10-19,08:15:00,Aluva Depot,10,8,1,1,23,320,0.0253
2025-10-19,08:15:00,Muttom Yard,25,20,3,2,20,479,0.0175
2025-10-19,08:30:00,Aluva Depot,10,8,1,1,17,359,0.0127
2025-10-19,08:30:00,Muttom Yard,25,20,3,2,18,377,0.0171
2025-10-19,08:45:00,Aluva Depot,10,8,2,0,20,311,0.0461
2025-10-19,08:45:00,Muttom Yard,25,20,1,4,22,493,0.036
2025-10-19,09:00:00,Aluva Depot,10,8,3,0,17,269,0.044
2025-10-19,09:00:00,Muttom Yard,25,20,1,4,15,457,0.0167
2025-10-19,09:15:00,Aluva Depot,10,8,3,0,15,232,0.0162
2025-10-19,09:15:00,Muttom Yard,25,20,3,2,19,414,0.0397
2025-10-19,09:30:00,Aluva Depot,10,8,2,0,15,202,0.0177
2025-10-19,09:30:00,Muttom Yard,25,20,3,2,23,257,0.0452
2025-10-19,09:45:00,Aluva Depot,10,8,2,0,24,310,0.0145
2025-10-19,09:45:00,Muttom Yard,25,20,3,2,23,314,0.0168
2025-10-19,10:00:00,Aluva Depot,10,8,3,0,24,479,0.0376
2025-10-19,10:00:00,Muttom Yard,25,20,3,2,21,301,0.0339
2025-10-19,10:15:00,Aluva Depot,10,8,3,0,17,455,0.0423
2025-10-19,10:15:00,Muttom Yard,25,20,3,2,24,348,0.0452
2025-10-19,10:30:00,Aluva Depot,10,8,1,1,22,392,0.0245
2025-10-19,10:30:00,Muttom Yard,25,20,2,3,20,425,0.0431
2025-10-19,10:45:00,Aluva Depot,10,8,2,0,20,380,0.0439
2025-10-19,10:45:00,Muttom Yard,25,20,3,2,17,436,0.0456
2025-10-19,11:00:00,Aluva Depot,10,8,3,0,16,470,0.0276
2025-10-19,11:00:00,Muttom Yard,25,20,3,2,21,215,0.0319
2025-10-19,11:15:00,Aluva Depot,10,8,2,0,16,492,0.0458
2025-10-19,11:15:00,Muttom Yard,25,20,3,2,16,260,0.0121
2025-10-19,11:30:00,Aluva Depot,10,8,2,0,15,451,0.0398
2025-10-19,11:30:00,Muttom Yard,25,20,1,4,24,476,0.0291
2025-10-19,11:45:00,Aluva Depot,10,8,3,0,16,275,0.0411
2025-10-19,11:45:00,Muttom Yard,25,20,3,2,21,267,0.0145
2025-10-19,12:00:00,Aluva Depot,10,4,1,5,16,362,0.0155
2025-10-19,12:00:00,Muttom Yard,25,10,1,14,19,333,0.0285
2025-10-19,12:15:00,Aluva Depot,10,4,1,5,17,391,0.0475
2025-10-19,12:15:00,Muttom Yard,25,10,3,12,20,348,0.0449
2025-10-19,12:30:00,Aluva Depot,10,4,3,3,24,222,0.0249
2025-10-19,12:30:00,Muttom Yard,25,10,2,13,19,433,0.0265
2025-10-19,12:45:00,Aluva Depot,10,4,1,5,21,327,0.0141
2025-10-19,12:45:00,Muttom Yard,25,10,3,12,18,242,0.0179
2025-10-19,13:00:00,Aluva Depot,10,4,1,5,18,382,0.0116
2025-10-19,13:00:00,Muttom Yard,25,10,3,12,23,426,0.0277
2025-10-19,13:15:00,Aluva Depot,10,4,3,3,17,388,0.0478
2025-10-19,13:15:00,Muttom Yard,25,10,1,14,23,423,0.0211
2025-10-19,13:30:00,Aluva Depot,10,4,3,3,15,467,0.0149
2025-10-19,13:30:00,Muttom Yard,25,10,3,12,21,410,0.012
2025-10-19,13:45:00,Aluva Depot,10,4,3,3,20,392,0.0478
2025-10-19,13:45:00,Muttom Yard,25,10,3,12,16,340,0.0228
2025-10-19,14:00:00,Aluva Depot,10,4,3,3,22,229,0.0406
2025-10-19,14:00:00,Muttom Yard,25,10,3,12,21,252,0.0241
2025-10-19,14:15:00,Aluva Depot,10,4,2,4,20,216,0.0264
2025-10-19,14:15:00,Muttom Yard,25,10,2,13,18,415,0.0422
2025-10-19,14:30:00,Aluva Depot,10,4,1,5,15,310,0.034
2025-10-19,14:30:00,Muttom Yard,25,10,1,14,20,296,0.0352
2025-10-19,14:45:00,Aluva Depot,10,4,1,5,21,459,0.0375
2025-10-19,14:45:00,Muttom Yard,25,10,3,12,20,484,0.0199
2025-10-19,15:00:00,Aluva Depot,10,4,2,4,17,434,0.0338
2025-10-19,15:00:00,Muttom Yard,25,10,3,12,18,345,0.0146
2025-10-19,15:15:00,Aluva Depot,10,4,1,5,18,495,0.014
2025-10-19,15:15:00,Muttom Yard,25,10,3,12,22,372,0.0483
2025-10-19,15:30:00,Aluva Depot,10,4,3,3,23,433,0.0112
2025-10-19,15:30:00,Muttom Yard,25,10,1,14,21,298,0.0384
2025-10-19,15:45:00,Aluva Depot,10,4,2,4,17,308,0.0293
2025-10-19,15:45:00,Muttom Yard,25,10,2,13,15,225,0.011
2025-10-19,16:00:00,Aluva Depot,10,4,1,5,23,399,0.0226
2025-10-19,16:00:00,Muttom Yard,25,10,1,14,22,322,0.0247
2025-10-19,16:15:00,Aluva Depot,10,4,1,5,23,343,0.0149
2025-10-19,16:15:00,Muttom Yard,25,10,3,12,23,200,0.035
2025-10-19,16:30:00,Aluva Depot,10,4,2,4,23,288,0.046
2025-10-19,16:30:00,Muttom Yard,25,10,3,12,16,262,0.0426
2025-10-19,16:45:00,Aluva Depot,10,4,1,5,19,228,0.0362
2025-10-19,16:45:00,Muttom Yard,25,10,1,14,16,344,0.0452
2025-10-19,17:00:00,Aluva Depot,10,8,2,0,18,372,0.0398
2025-10-19,17:00:00,Muttom Yard,25,20,3,2,22,472,0.0433
2025-10-19,17:15:00,Aluva Depot,10,8,1,1,20,418,0.0201
2025-10-19,17:15:00,Muttom Yard,25,20,3,2,21,324,0.0249
2025-10-19,17:30:00,Aluva Depot,10,8,3,0,16,225,0.0162
2025-10-19,17:30:00,Muttom Yard,25,20,1,4,24,401,0.0136
2025-10-19,17:45:00,Aluva Depot,10,8,1,1,19,242,0.0385
2025-10-19,17:45:00,Muttom Yard,25,20,3,2,22,335,0.0125
2025-10-19,18:00:00,Aluva Depot,10,8,1,1,19,294,0.0208
2025-10-19,18:00:00,Muttom Yard,25,20,3,2,20,254,0.0282
2025-10-19,18:15:00,Aluva Depot,10,8,3,0,24,429,0.0347
2025-10-19,18:15:00,Muttom Yard,25,20,2,3,16,496,0.0131
2025-10-19,18:30:00,Aluva Depot,10,8,2,0,16,220,0.0193
2025-10-19,18:30:00,Muttom Yard,25,20,2,3,17,430,0.0356
2025-10-19,18:45:00,Aluva Depot,10,8,1,1,18,349,0.0474
2025-10-19,18:45:00,Muttom Yard,25,20,3,2,20,316,0.0383
2025-10-19,19:00:00,Aluva Depot,10,8,1,1,15,240,0.0296
2025-10-19,19:00:00,Muttom Yard,25,20,2,3,24,427,0.0266
2025-10-19,19:15:00,Aluva Depot,10,8,2,0,16,258,0.0114
2025-10-19,19:15:00,Muttom Yard,25,20,1,4,24,433,0.0428
2025-10-19,19:30:00,Aluva Depot,10,8,1,1,18,416,0.0177
2025-10-19,19:30:00,Muttom Yard,25,20,2,3,20,495,0.0352
2025-10-19,19:45:00,Aluva Depot,10,8,1,1,16,227,0.0471
2025-10-19,19:45:00,Muttom Yard,25,20,1,4,19,306,0.0311
2025-10-19,20:00:00,Aluva Depot,10,8,3,0,19,301,0.0151
2025-10-19,20:00:00,Muttom Yard,25,20,3,2,22,352,0.0212
2025-10-19,20:15:00,Aluva Depot,10,8,3,0,21,424,0.0212
2025-10-19,20:15:00,Muttom Yard,25,20,3,2,19,443,0.0337
2025-10-19,20:30:00,Aluva Depot,10,8,2,0,19,352,0.0316
2025-10-19,20:30:00,Muttom Yard,25,20,2,3,20,429,0.0272
2025-10-19,20:45:00,Aluva Depot,10,8,2,0,20,471,0.0313
2025-10-19,20:45:00,Muttom Yard,25,20,3,2,21,311,0.0453
2025-10-19,21:00:00,Aluva Depot,10,4,3,3,23,259,0.021
2025-10-19,21:00:00,Muttom Yard,25,10,1,14,23,366,0.0223
2025-10-19,21:15:00,Aluva Depot,10,4,3,3,23,214,0.031
2025-10-19,21:15:00,Muttom Yard,25,10,1,14,16,389,0.0363
2025-10-19,21:30:00,Aluva Depot,10,4,1,5,18,381,0.0288
2025-10-19,21:30:00,Muttom Yard,25,10,3,12,18,382,0.0448
2025-10-19,21:45:00,Aluva Depot,10,4,1,5,24,404,0.0435
2025-10-19,21:45:00,Muttom Yard,25,10,1,14,23,495,0.0114
2025-10-19,22:00:00,Aluva Depot,10,4,2,4,16,446,0.0417
2025-10-19,22:00:00,Muttom Yard,25,10,1,14,19,466,0.0237
2025-10-19,22:15:00,Aluva Depot,10,4,3,3,17,436,0.0155
2025-10-19,22:15:00,Muttom Yard,25,10,2,13,23,248,0.0473
2025-10-19,22:30:00,Aluva Depot,10,4,1,5,22,308,0.0191
2025-10-19,22:30:00,Muttom Yard,25,10,3,12,16,226,0.0361
2025-10-19,22:45:00,Aluva Depot,10,4,2,4,18,497,0.0405
2025-10-19,22:45:00,Muttom Yard,25,10,1,14,16,254,0.0308
2025-10-19,23:00:00,Aluva Depot,10,4,1,5,16,376,0.0154
2025-10-19,23:00:00,Muttom Yard,25,10,2,13,19,469,0.0339
2025-10-20,05:30:00,Aluva Depot,10,4,2,4,16,244,0.0228
2025-10-20,05:30:00,Muttom Yard,25,10,1,14,16,319,0.0246
2025-10-20,05:45:00,Aluva Depot,10,4,3,3,23,314,0.032
